1,1,The Beauty is Everywhere Tour,Chelsea Cutler,2024-02-22,2024-02-22,20:00,23:00,chelsea_cutler_stellarina.jpeg
2,2,Jazz Night,Smooth Groove Quartet,2024-07-20,2024-07-20,20:00,22:00,dreamers_indie.jpg
3,4,Indie Showcase,The Dreamers,2024-08-10,2024-08-10,19:30,21:30,electric_pulse.jpg
4,6,Pop Party,Electric Pulse,2024-09-05,2024-09-05,21:00,23:00,philharmonic_orchestra.jpg
5,8,Classical Concert,Philharmonic Orchestra,2024-10-12,2024-10-12,19:00,21:30,smooth_quartets.jpg
6,10,Rock Revolution,The Rebels,2023-11-08,2023-11-08,20:30,23:30,the_rebels.jpg
7,3,Blues Night,Blues Brothers,2024-12-03,2024-12-03,21:00,23:00,blues_night.jpg
8,5,Hip-Hop Extravaganza,MC Rhyme,2025-01-18,2025-01-18,20:00,22:30,mcrhyme_hiphop_extra.jpg
9,7,R&B Revival,Smooth Soul,2025-02-14,2025-02-14,19:30,21:30,smooth_soul.jpg
10,9,Reggae Fest,Island Vibes Band,2025-03-20,2025-03-20,18:30,22:00,island_vibes.jpg
11,1,Electronic Dance Party,DJ Electro,2025-04-25,2025-04-25,22:00,2:00,dj_electro.jpg
12,3,Folk Music Gathering,The Minstrels,2025-05-30,2025-05-30,19:00,21:00,the_minstrels.jpg
13,4,Heavy Metal Night,Steel Titans,2025-06-10,2025-06-10,20:30,23:30,steel_titans.jpg
